ano,nome_municipio,sexo,uf,populacao
2021,Itamarati,masculino,AM,4105
2021,Itapiranga,feminino,AM,4455
2021,Itapiranga,masculino,AM,4857
2021,Japurá,feminino,AM,818
2021,Japurá,masculino,AM,937
2021,Juruá,feminino,AM,7544
2021,Juruá,masculino,AM,7951
2021,Jutaí,feminino,AM,6358
2021,Jutaí,masculino,AM,7104
2021,Lábrea,feminino,AM,22806
2021,Lábrea,masculino,AM,24879
2021,Manacapuru,feminino,AM,49225
2021,Manacapuru,masculino,AM,50388
2021,Manaquiri,feminino,AM,16808
2021,Manaquiri,masculino,AM,17173
2021,Manaus,feminino,AM,1159288
2021,Manaus,masculino,AM,1096615
2021,Manicoré,feminino,AM,27315
2021,Manicoré,masculino,AM,30090
2021,Maraã,feminino,AM,8271
2021,Maraã,masculino,AM,10027
2021,Maués,feminino,AM,31438
2021,Maués,masculino,AM,34721
2021,Nhamundá,feminino,AM,10434
2021,Nhamundá,masculino,AM,11276
2021,Nova Olinda do Norte,feminino,AM,18670
2021,Nova Olinda do Norte,masculino,AM,19995
2021,Novo Airão,feminino,AM,9742
2021,Novo Airão,masculino,AM,10653
2021,Novo Aripuanã,feminino,AM,12078
2021,Novo Aripuanã,masculino,AM,14365
2021,Parintins,feminino,AM,56755
2021,Parintins,masculino,AM,59684
2021,Pauini,feminino,AM,9172
2021,Pauini,masculino,AM,10444
2021,Presidente Figueiredo,feminino,AM,18584
2021,Presidente Figueiredo,masculino,AM,19511
2021,Rio Preto da Eva,feminino,AM,16487
2021,Rio Preto da Eva,masculino,AM,18369
2021,Santa Isabel do Rio Negro,feminino,AM,13012
2021,Santa Isabel do Rio Negro,masculino,AM,13554
2021,Santo Antônio do Içá,feminino,AM,10176
2021,Santo Antônio do Içá,masculino,AM,10713
2021,São Gabriel da Cachoeira,feminino,AM,22849
2021,São Gabriel da Cachoeira,masculino,AM,24182
2021,São Paulo de Olivença,feminino,AM,19518
2021,São Paulo de Olivença,masculino,AM,21319
2021,São Sebastião do Uatumã,feminino,AM,6989
2021,São Sebastião do Uatumã,masculino,AM,7689
2021,Silves,feminino,AM,4402
2021,Silves,masculino,AM,4887
2021,Tabatinga,feminino,AM,34098
2021,Tabatinga,masculino,AM,34404
2021,Tapauá,feminino,AM,7946
2021,Tapauá,masculino,AM,8930
2021,Tefé,feminino,AM,28899
2021,Tefé,masculino,AM,30351
2021,Tonantins,feminino,AM,9066
2021,Tonantins,masculino,AM,9972
2021,Uarini,feminino,AM,6419
