ano,nome_municipio,sexo,uf,populacao
2018,Rosário,masculino,MA,21018
2018,Sambaíba,feminino,MA,2663
2018,Sambaíba,masculino,MA,3000
2018,Santa Filomena do Maranhão,feminino,MA,3772
2018,Santa Filomena do Maranhão,masculino,MA,3947
2018,Santa Helena,feminino,MA,21342
2018,Santa Helena,masculino,MA,20428
2018,Santa Inês,feminino,MA,46169
2018,Santa Inês,masculino,MA,42421
2018,Santa Luzia,feminino,MA,35974
2018,Santa Luzia,masculino,MA,36466
2018,Santa Luzia do Paruá,feminino,MA,12513
2018,Santa Luzia do Paruá,masculino,MA,12621
2018,Santa Quitéria do Maranhão,feminino,MA,12828
2018,Santa Quitéria do Maranhão,masculino,MA,12691
2018,Santa Rita,feminino,MA,18751
2018,Santa Rita,masculino,MA,18653
2018,Santana do Maranhão,feminino,MA,6488
2018,Santana do Maranhão,masculino,MA,6735
2018,Santo Amaro do Maranhão,feminino,MA,7343
2018,Santo Amaro do Maranhão,masculino,MA,8311
2018,Santo Antônio dos Lopes,feminino,MA,7344
2018,Santo Antônio dos Lopes,masculino,MA,7190
2018,São Benedito do Rio Preto,feminino,MA,9199
2018,São Benedito do Rio Preto,masculino,MA,9409
2018,São Bento,feminino,MA,23147
2018,São Bento,masculino,MA,21664
2018,São Bernardo,feminino,MA,14341
2018,São Bernardo,masculino,MA,14002
2018,São Domingos do Azeitão,feminino,MA,3667
2018,São Domingos do Azeitão,masculino,MA,3696
2018,São Domingos do Maranhão,feminino,MA,17160
2018,São Domingos do Maranhão,masculino,MA,17208
2018,São Félix de Balsas,feminino,MA,2217
2018,São Félix de Balsas,masculino,MA,2392
2018,São Francisco do Brejão,feminino,MA,5763
2018,São Francisco do Brejão,masculino,MA,5889
2018,São Francisco do Maranhão,feminino,MA,6081
2018,São Francisco do Maranhão,masculino,MA,6120
2018,São João Batista,feminino,MA,10287
2018,São João Batista,masculino,MA,10342
2018,São João do Carú,feminino,MA,7663
2018,São João do Carú,masculino,MA,8165
2018,São João do Paraíso,feminino,MA,5191
2018,São João do Paraíso,masculino,MA,5971
2018,São João do Soter,feminino,MA,9064
2018,São João do Soter,masculino,MA,9374
2018,São João dos Patos,feminino,MA,13290
2018,São João dos Patos,masculino,MA,12570
2018,São José de Ribamar,feminino,MA,92595
2018,São José de Ribamar,masculino,MA,83726
2018,São José dos Basílios,feminino,MA,3895
2018,São José dos Basílios,masculino,MA,3747
2018,São Luís,feminino,MA,585395
2018,São Luís,masculino,MA,509272
2018,São Luís Gonzaga do Maranhão,feminino,MA,9559
2018,São Luís Gonzaga do Maranhão,masculino,MA,9429
2018,São Mateus do Maranhão,feminino,MA,21238
2018,São Mateus do Maranhão,masculino,MA,20112
2018,São Pedro da Água Branca,feminino,MA,6293
